trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
715,False,"{'a': 0.2, 'e': 0.028155853680300096}",30,23,13.223102131203078,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
716,False,"{'a': 0.2, 'e': 0.028015425774221808}",20,12,2.0034178716735376,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
717,False,"{'a': 0.2, 'e': 0.027875698255247015}",30,13,29.58452516462329,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
718,False,"{'a': 0.2, 'e': 0.027736667630180463}",20,3,13.13852476704698,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
719,False,"{'a': 0.2, 'e': 0.027598330423249287}",20,10,14.154147567339557,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
720,False,"{'a': 0.2, 'e': 0.027460683176016097}",30,22,6.6627864061807,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
721,False,"{'a': 0.2, 'e': 0.02732372244729256}",20,9,17.89749210852361,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.2, 'e': 0.027187444813053314}",25,20,9.512258807637586,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
723,False,"{'a': 0.2, 'e': 0.027051846866350412}",20,0,30.034647733832735,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
724,False,"{'a': 0.2, 'e': 0.026916925217228112}",20,10,16.20660472930226,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
725,False,"{'a': 0.2, 'e': 0.026782676492638175}",20,4,29.304280212667578,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
726,False,"{'a': 0.2, 'e': 0.02664909733635549}",30,14,1.3555080195527096,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
727,False,"{'a': 0.2, 'e': 0.02651618440889418}",20,9,20.504434263505132,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'a': 0.2, 'e': 0.02638393438742414}",20,2,36.25702173297307,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
729,False,"{'a': 0.2, 'e': 0.02625234396568796}",20,6,26.671099091817055,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
730,False,"{'a': 0.2, 'e': 0.026121409853918233}",20,9,21.0212905684709,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
731,False,"{'a': 0.2, 'e': 0.025991128778755344}",25,9,30.307524349456006,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
732,False,"{'a': 0.2, 'e': 0.02586149748316562}",20,6,23.77663417482168,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
733,False,"{'a': 0.2, 'e': 0.025732512726359943}",25,11,26.759909636646643,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
734,False,"{'a': 0.2, 'e': 0.025604171283712656}",20,13,13.041341352470862,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
735,False,"{'a': 0.2, 'e': 0.025476469946681016}",30,21,15.973952022472787,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
736,False,"{'a': 0.2, 'e': 0.025349405522724935}",20,8,18.99514429020948,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
737,False,"{'a': 0.2, 'e': 0.02522297483522721}",20,13,13.502091206625717,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
738,False,"{'a': 0.2, 'e': 0.025097174723414068}",20,0,23.455464550019173,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
739,False,"{'a': 0.2, 'e': 0.02497200204227616}",20,10,20.45144123915954,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
740,False,"{'a': 0.2, 'e': 0.024847453662489916}",20,3,20.615262582264563,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
741,False,"{'a': 0.2, 'e': 0.024723526470339385}",25,18,14.548592190011622,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
742,False,"{'a': 0.2, 'e': 0.024600217367638302}",20,10,20.61512524979857,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
743,False,"{'a': 0.2, 'e': 0.02447752327165267}",20,8,7.846743322042663,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
744,False,"{'a': 0.2, 'e': 0.024355441115023704}",20,14,12.866522693303866,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
745,False,"{'a': 0.2, 'e': 0.024233967845691113}",25,1,28.542522578487556,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
746,False,"{'a': 0.2, 'e': 0.02411310042681686}",20,10,14.221765342061081,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
747,False,"{'a': 0.2, 'e': 0.023992835836709175}",20,10,19.56043733318752,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
748,False,"{'a': 0.2, 'e': 0.023873171068747034}",20,0,32.28585331229194,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
749,False,"{'a': 0.2, 'e': 0.023754103131304997}",20,10,16.718570637572043,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
750,False,"{'a': 0.2, 'e': 0.023635629047678443}",30,12,28.6939744018666,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
751,False,"{'a': 0.2, 'e': 0.023517745856009107}",20,12,11.55094163200597,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
752,False,"{'a': 0.2, 'e': 0.023400450609211056}",25,13,21.18458332430472,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
753,False,"{'a': 0.2, 'e': 0.023283740374897}",30,22,12.742072025192629,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
754,False,"{'a': 0.2, 'e': 0.02316761223530502}",20,3,5.815913151431287,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
755,False,"{'a': 0.2, 'e': 0.023052063287225567}",20,10,20.165392381746987,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
756,False,"{'a': 0.2, 'e': 0.02293709064192893}",25,1,28.755949514485472,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
757,False,"{'a': 0.2, 'e': 0.02282269142509297}",30,18,18.43532936209907,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
758,False,"{'a': 0.2, 'e': 0.022708862776731332}",20,1,30.06970398815729,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
759,False,"{'a': 0.2, 'e': 0.022595601851121864}",20,16,7.5165118660686625,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
760,False,"{'a': 0.2, 'e': 0.02248290581673553}",20,14,6.278367541143762,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
761,False,"{'a': 0.2, 'e': 0.02237077185616559}",20,12,15.175870971340863,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
762,False,"{'a': 0.2, 'e': 0.02225919716605721}",20,16,8.043283755691872,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
763,False,"{'a': 0.2, 'e': 0.022148178957037315}",20,16,7.023516521445328,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
764,False,"{'a': 0.2, 'e': 0.0220377144536449}",20,15,8.253306189795962,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
765,False,"{'a': 0.2, 'e': 0.02192780089426161}",20,0,32.50940412097976,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
766,False,"{'a': 0.2, 'e': 0.021818435531042762}",25,20,11.153713765518456,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
767,False,"{'a': 0.2, 'e': 0.02170961562984857}",25,16,14.871949666697434,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
768,False,"{'a': 0.2, 'e': 0.021601338470175833}",25,8,8.030447508001501,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
769,False,"{'a': 0.2, 'e': 0.021493601345089923}",20,14,12.003128122595445,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
770,False,"{'a': 0.2, 'e': 0.02138640156115709}",25,6,31.175506793288605,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
771,False,"{'a': 0.2, 'e': 0.02127973643837717}",20,16,7.780698972857392,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
772,False,"{'a': 0.2, 'e': 0.02117360331011653}",25,18,15.711254048817633,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
773,False,"{'a': 0.2, 'e': 0.021067999523041434}",20,10,20.030344369383933,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
774,False,"{'a': 0.2, 'e': 0.0209629224370517}",25,8,29.357770157099154,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
775,False,"{'a': 0.2, 'e': 0.02085836942521472}",20,12,13.55217722368658,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
776,False,"{'a': 0.2, 'e': 0.020754337873699742}",30,20,17.887997366843145,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
777,False,"{'a': 0.2, 'e': 0.020650825181712566}",25,11,25.763003682485383,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
778,False,"{'a': 0.2, 'e': 0.02054782876143049}",20,15,11.682978103169567,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
779,False,"{'a': 0.2, 'e': 0.020445346037937653}",30,17,15.521266083391671,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
780,False,"{'a': 0.2, 'e': 0.02034337444916063}",20,12,1.3930853514640869,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
781,False,"{'a': 0.2, 'e': 0.02024191144580439}",20,10,9.27516471489714,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
782,False,"{'a': 0.2, 'e': 0.02014095449128855}",20,14,12.719484515241456,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
783,False,"{'a': 0.2, 'e': 0.020040501061684014}",25,11,-27.556646992478306,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
784,False,"{'a': 0.2, 'e': 0.019940548645649793}",25,17,14.05508157277127,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,15,17.776631025857895,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,16,8.271553783888477,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,21.179512752924442,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,9,21.368481056931692,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,13,23.33192287090946,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,10,21.455390271698395,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,23,17.132933033316952,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,15,22.305070100624956,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,9,22.90697884432705,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,15,19.879274919650108,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
