trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
163,False,"{'a': 0.2, 'e': 0.19789869908361465}",25,10,-20.6320455332892,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
164,False,"{'a': 0.2, 'e': 0.19592957412690934}",20,0,-45.876568491350454,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
165,False,"{'a': 0.2, 'e': 0.19398004229089186}",20,13,11.68525136098146,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.2, 'e': 0.19204990862075408}",20,0,14.688207687220908,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
167,False,"{'a': 0.2, 'e': 0.1901389801015205}",20,13,0.7808671277722876,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.2, 'e': 0.18824706563874677}",25,12,-20.18374570839999,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
169,False,"{'a': 0.2, 'e': 0.18637397603940997}",20,12,12.895842082012859,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.2, 'e': 0.18451952399298926}",20,0,-15.784451900331863,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
171,False,"{'a': 0.2, 'e': 0.18268352405273464}",20,7,14.09080177033184,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.2, 'e': 0.18086579261712207}",35,16,20.35088414170803,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.2, 'e': 0.17906614791149322}",20,4,-24.662023196786514,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
174,False,"{'a': 0.2, 'e': 0.17728440996987782}",20,0,3.8265221779793706,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
175,False,"{'a': 0.2, 'e': 0.1755204006169969}",20,2,21.046423470974705,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.2, 'e': 0.1737739434504451}",25,12,11.247725263484265,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.2, 'e': 0.1720448638230505}",20,0,0.1203190133875951,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
178,False,"{'a': 0.2, 'e': 0.17033298882540943}",25,13,15.289502930433764,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.2, 'e': 0.16863814726859552}",20,1,-82.05891341055026,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 2}",1
180,False,"{'a': 0.2, 'e': 0.1669601696670407}",25,17,2.98670058755203,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.2, 'e': 0.16529888822158653}",30,0,43.93826600064177,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
182,False,"{'a': 0.2, 'e': 0.16365413680270405}",30,0,11.701140308863913,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
183,False,"{'a': 0.2, 'e': 0.16202575093388075}",20,10,2.585868555624703,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.2, 'e': 0.16041356777517277}",20,8,17.78803697556547,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.2, 'e': 0.15881742610692068}",20,0,21.22404442335206,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
186,False,"{'a': 0.2, 'e': 0.1572371663136276}",20,0,5.785926249273372,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
187,False,"{'a': 0.2, 'e': 0.1556726303679973}",25,13,-4.009420243015793,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
188,False,"{'a': 0.2, 'e': 0.1541236618151314}",20,12,15.447492838201983,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.2, 'e': 0.15259010575688386}",20,12,16.05987881145729,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.2, 'e': 0.1510718088363708}",20,6,26.105601649066873,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.2, 'e': 0.14956861922263504}",20,5,-59.082716305645164,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
192,False,"{'a': 0.2, 'e': 0.14808038659546244}",20,0,25.081120993137986,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
193,False,"{'a': 0.2, 'e': 0.14660696213035015}",20,16,6.853982464677488,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.2, 'e': 0.14514819848362376}",20,0,24.820118230127395,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
195,False,"{'a': 0.2, 'e': 0.14370394977770293}",25,11,24.4304661330357,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.2, 'e': 0.1422740715865136}",20,13,13.88282278998136,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.2, 'e': 0.140858420921045}",20,14,8.05237482739043,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.2, 'e': 0.13945685621505094}",20,6,0.9422797581319495,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
199,False,"{'a': 0.2, 'e': 0.13806923731089282}",25,4,-8.108245231903178,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
200,False,"{'a': 0.2, 'e': 0.13669542544552385}",25,7,-39.30748245379676,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
201,False,"{'a': 0.2, 'e': 0.1353352832366127}",25,17,15.251414930495828,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.2, 'e': 0.13398867466880493}",30,14,19.459466326590277,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
203,False,"{'a': 0.2, 'e': 0.13265546508012172}",30,4,32.221441366557364,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.2, 'e': 0.13133552114849303}",20,10,9.124450391603474,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.2, 'e': 0.1300287108784259}",20,5,22.50038163466428,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.2, 'e': 0.12873490358780423}",25,7,16.393247570796298,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.2, 'e': 0.12745396989482075}",35,17,25.767670030392484,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.2, 'e': 0.12618578170503877}",30,21,-26.729410185038475,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
209,False,"{'a': 0.2, 'e': 0.12493021219858241}",20,3,-15.864480307278365,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
210,False,"{'a': 0.2, 'e': 0.12368713581745483}",25,18,13.400963427212657,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
